dataset,family,horizon,metric,delta,wins,ties,n_origins,improved_fraction
news,route_vs_dlinear,10,mape,0.28835647899945227,53,0,61,0.8688524590163934
news,route_vs_dlinear,11,mse,0.0001378787976607909,55,0,61,0.9016393442622951
news,route_vs_dlinear,11,mae,0.003487337165232148,41,0,61,0.6721311475409836
news,route_vs_dlinear,11,mape,0.3455790633315704,41,0,61,0.6721311475409836
news,route_vs_dlinear,12,mse,0.00011708697933191428,53,0,61,0.8688524590163934
news,route_vs_dlinear,12,mae,0.0026259372009932083,43,0,61,0.7049180327868853
news,route_vs_dlinear,12,mape,0.2594753130698409,43,0,61,0.7049180327868853
news,route_vs_dlinear,13,mse,0.00016640623671696154,49,0,61,0.8032786885245902
news,route_vs_dlinear,13,mae,0.0032876835184878217,44,0,61,0.7213114754098361
news,route_vs_dlinear,13,mape,0.322673921934841,44,0,61,0.7213114754098361
news,route_vs_dlinear,14,mse,6.125810808644077e-05,38,0,61,0.6229508196721312
news,route_vs_dlinear,14,mae,0.0008413579635362765,37,0,61,0.6065573770491803
news,route_vs_dlinear,14,mape,0.08001286700991517,37,0,61,0.6065573770491803
news,route_vs_dlinear,15,mse,7.77574787934185e-05,36,0,61,0.5901639344262295
news,route_vs_dlinear,15,mae,0.0010698075833417697,35,0,61,0.5737704918032787
news,route_vs_dlinear,15,mape,0.10040718493089737,35,0,61,0.5737704918032787
news,route_vs_dlinear,16,mse,8.921441667369274e-05,35,0,61,0.5737704918032787
news,route_vs_dlinear,16,mae,0.0012471360942812148,34,0,61,0.5573770491803278
news,route_vs_dlinear,16,mape,0.11779257812051329,34,0,61,0.5573770491803278
news,route_vs_dlinear,17,mse,0.00014942482124112377,42,0,61,0.6885245901639344
news,route_vs_dlinear,17,mae,0.0020998636098689427,39,0,61,0.639344262295082
news,route_vs_dlinear,17,mape,0.19963306230756694,39,0,61,0.639344262295082
news,route_vs_dlinear,18,mse,0.00012313243200124513,42,0,61,0.6885245901639344
news,route_vs_dlinear,18,mae,0.0019245680302720362,37,0,61,0.6065573770491803
news,route_vs_dlinear,18,mape,0.18577000040290173,37,0,61,0.6065573770491803
news,route_vs_dlinear,19,mse,0.0001731766586100348,40,0,61,0.6557377049180327
news,route_vs_dlinear,19,mae,0.002368199062981466,40,0,61,0.6557377049180327
news,route_vs_dlinear,19,mape,0.2253276520145676,40,0,61,0.6557377049180327
news,route_vs_dlinear,20,mse,0.000148067630120956,43,0,61,0.7049180327868853
news,route_vs_dlinear,20,mae,0.002129338894162164,37,0,61,0.6065573770491803
news,route_vs_dlinear,20,mape,0.2042767580048686,37,0,61,0.6065573770491803
news,route_vs_dlinear,21,mse,0.00012536017393286025,34,0,61,0.5573770491803278
news,route_vs_dlinear,21,mae,0.0012987293802059238,34,0,61,0.5573770491803278
news,route_vs_dlinear,21,mape,0.12213399322016083,34,0,61,0.5573770491803278
news,route_vs_dlinear,22,mse,0.00014561721538943772,33,0,61,0.5409836065573771
news,route_vs_dlinear,22,mae,0.0013912869550182097,33,0,61,0.5409836065573771
news,route_vs_dlinear,22,mape,0.12879667447819207,33,0,61,0.5409836065573771
news,route_vs_dlinear,23,mse,0.00037980075074391426,50,0,61,0.819672131147541
news,route_vs_dlinear,23,mae,0.005671697638769808,49,0,61,0.8032786885245902
news,route_vs_dlinear,23,mape,0.5544741690577641,49,0,61,0.8032786885245902
news,route_vs_dlinear,24,mse,0.0002725783978553499,46,0,61,0.7540983606557377
news,route_vs_dlinear,24,mae,0.004159678571261731,44,0,61,0.7213114754098361
news,route_vs_dlinear,24,mape,0.40126773585678754,44,0,61,0.7213114754098361
news,semantic_vs_arm90,1,mse,1.4062853023821091e-07,26,4,61,0.4262295081967213
news,semantic_vs_arm90,1,mae,9.550729610678423e-06,30,4,61,0.4918032786885246
news,semantic_vs_arm90,1,mape,0.0009529060587875888,30,4,61,0.4918032786885246
news,semantic_vs_arm90,2,mse,5.701787541210029e-07,28,4,61,0.45901639344262296
news,semantic_vs_arm90,2,mae,5.393747827836795e-05,29,4,61,0.47540983606557374
news,semantic_vs_arm90,2,mape,0.005400610046793781,29,4,61,0.47540983606557374
news,semantic_vs_arm90,3,mse,9.657701458078692e-08,27,4,61,0.4426229508196721
news,semantic_vs_arm90,3,mae,1.2403720585446228e-05,26,4,61,0.4262295081967213
news,semantic_vs_arm90,3,mape,0.0011885751348311225,26,4,61,0.4262295081967213
news,semantic_vs_arm90,4,mse,1.2867129491485551e-06,23,4,61,0.3770491803278688
news,semantic_vs_arm90,4,mae,-2.4120899008530257e-05,24,4,61,0.39344262295081966
news,semantic_vs_arm90,4,mape,-0.0025941341446869695,24,4,61,0.39344262295081966
news,semantic_vs_arm90,5,mse,-2.996964626675862e-06,27,4,61,0.4426229508196721
news,semantic_vs_arm90,5,mae,-8.907049289063023e-05,26,4,61,0.4262295081967213
news,semantic_vs_arm90,5,mape,-0.008589386379444645,26,4,61,0.4262295081967213
news,semantic_vs_arm90,6,mse,-9.37423467763858e-07,25,4,61,0.4098360655737705
news,semantic_vs_arm90,6,mae,-7.1995473049013844e-06,30,4,61,0.4918032786885246
news,semantic_vs_arm90,6,mape,-0.000523746670447335,30,4,61,0.4918032786885246
news,semantic_vs_arm90,7,mse,-3.4858128924131436e-06,27,4,61,0.4426229508196721
news,semantic_vs_arm90,7,mae,-0.0001065888035341923,26,4,61,0.4262295081967213
news,semantic_vs_arm90,7,mape,-0.010256608069439037,26,4,61,0.4262295081967213
news,semantic_vs_arm90,8,mse,2.719909788149362e-07,24,4,61,0.39344262295081966
news,semantic_vs_arm90,8,mae,-4.146570680841733e-06,26,4,61,0.4262295081967213
news,semantic_vs_arm90,8,mape,-0.00029545760602654893,26,4,61,0.4262295081967213
news,semantic_vs_arm90,9,mse,-6.142421620133938e-08,23,4,61,0.3770491803278688
news,semantic_vs_arm90,9,mae,-2.755938445573828e-05,30,4,61,0.4918032786885246
news,semantic_vs_arm90,9,mape,-0.0025616580228124725,30,4,61,0.4918032786885246
news,semantic_vs_arm90,10,mse,3.2316628529128e-07,22,4,61,0.36065573770491804
news,semantic_vs_arm90,10,mae,-7.466788520235066e-06,29,4,61,0.47540983606557374
news,semantic_vs_arm90,10,mape,-0.0004957531100608652,29,4,61,0.47540983606557374
news,semantic_vs_arm90,11,mse,-1.3604518752440755e-06,32,4,61,0.5245901639344263
news,semantic_vs_arm90,11,mae,0.00018147126222698478,29,4,61,0.47540983606557374
news,semantic_vs_arm90,11,mape,0.018611631125545657,29,4,61,0.47540983606557374
news,semantic_vs_arm90,12,mse,-4.18730538339018e-06,30,4,61,0.4918032786885246
news,semantic_vs_arm90,12,mae,-1.2778431289597313e-06,27,4,61,0.4426229508196721
news,semantic_vs_arm90,12,mape,0.0007082442640985572,27,4,61,0.4426229508196721
news,semantic_vs_arm90,13,mse,-6.6597803967213525e-06,29,4,61,0.47540983606557374
news,semantic_vs_arm90,13,mae,-2.1565958621316158e-05,26,4,61,0.4262295081967213
