dataset,asset,candidate,reference,metric,n,delta,ci_low,ci_high,p_two_sided,block_days,resamples,interpretation
celebrity,SOL,Time-MoE,PatchTST,mape,12,-0.03626938459385768,-0.35597120439756913,0.2689246813723107,0.801,7,4999,positive favors Time-MoE; descriptive comparison
celebrity,Pooled,Time-MoE,PatchTST,mse,288,-0.00024547318950557856,-0.006160198041893627,0.001031270223996152,0.9366,7,4999,positive favors Time-MoE; descriptive comparison
celebrity,Pooled,Time-MoE,PatchTST,mae,288,-0.0017851210561477468,-0.0437815041343371,0.008455137333108324,0.9432,7,4999,positive favors Time-MoE; descriptive comparison
celebrity,Pooled,Time-MoE,PatchTST,mape,288,-0.17025044594957317,-4.165270859321472,0.9034400485156785,0.944,7,4999,positive favors Time-MoE; descriptive comparison
celebrity,BTC,Time-MoE,iTransformer,mse,163,-2.21715145498647e-05,-0.00048589981567696584,0.00025141120165361844,0.9256,7,4999,positive favors Time-MoE; descriptive comparison
celebrity,BTC,Time-MoE,iTransformer,mae,163,-0.00020767003297805792,-0.011387146486975681,0.009618718896446556,0.9708,7,4999,positive favors Time-MoE; descriptive comparison
celebrity,BTC,Time-MoE,iTransformer,mape,163,-0.019000218312366285,-1.1148170916406124,0.9557422595178816,0.9722,7,4999,positive favors Time-MoE; descriptive comparison
celebrity,DOGE,Time-MoE,iTransformer,mse,98,-0.0006323816553700959,-0.004500514339444247,0.00011606978773489999,0.78,7,4999,positive favors Time-MoE; descriptive comparison
celebrity,DOGE,Time-MoE,iTransformer,mae,98,-0.005036759614741723,-0.032192073693905754,-0.0021741320175686094,0.8052,7,4999,positive favors Time-MoE; descriptive comparison
celebrity,DOGE,Time-MoE,iTransformer,mape,98,-0.48896669280762145,-3.254584635057939,-0.17291542617523775,0.7976,7,4999,positive favors Time-MoE; descriptive comparison
celebrity,ETH,Time-MoE,iTransformer,mse,15,0.00016148246392790327,-0.004309645653419576,0.004713351813239335,0.7796,7,4999,positive favors Time-MoE; descriptive comparison
celebrity,ETH,Time-MoE,iTransformer,mae,15,0.005852791501416101,-0.006727044988009666,0.021846788211001292,0.5148,7,4999,positive favors Time-MoE; descriptive comparison
celebrity,ETH,Time-MoE,iTransformer,mape,15,0.6507725547295677,-0.6042837663833988,2.299522870895099,0.473,7,4999,positive favors Time-MoE; descriptive comparison
celebrity,SOL,Time-MoE,iTransformer,mse,12,0.0002851787394680455,6.325648563894799e-05,0.0006211724890843614,0.1104,7,4999,positive favors Time-MoE; descriptive comparison
celebrity,SOL,Time-MoE,iTransformer,mae,12,0.004095737925834126,-0.0006686153511206305,0.010498386373122533,0.179,7,4999,positive favors Time-MoE; descriptive comparison
celebrity,SOL,Time-MoE,iTransformer,mape,12,0.40043038810260806,-0.07913520193323005,1.0401681333794894,0.1872,7,4999,positive favors Time-MoE; descriptive comparison
celebrity,Pooled,Time-MoE,iTransformer,mse,288,-0.0002074408932825077,-0.005608020523893109,0.0014754879463257922,0.9424,7,4999,positive favors Time-MoE; descriptive comparison
celebrity,Pooled,Time-MoE,iTransformer,mae,288,-0.0013559442013502125,-0.03491719813810454,0.008112705796957019,0.9394,7,4999,positive favors Time-MoE; descriptive comparison
celebrity,Pooled,Time-MoE,iTransformer,mape,288,-0.1265590920204438,-3.441883138096931,0.930187598211602,0.9408,7,4999,positive favors Time-MoE; descriptive comparison
celebrity,BTC,Time-MoE,TimesNet,mse,163,-7.550386737186563e-05,-0.000869444400261463,2.3426228767189422e-05,0.9062,7,4999,positive favors Time-MoE; descriptive comparison
celebrity,BTC,Time-MoE,TimesNet,mae,163,-0.0009930871259459203,-0.01644286554863398,0.005250195375290416,0.8924,7,4999,positive favors Time-MoE; descriptive comparison
celebrity,BTC,Time-MoE,TimesNet,mape,163,-0.09793950505036787,-1.6248991312885952,0.5189128863384295,0.8936,7,4999,positive favors Time-MoE; descriptive comparison
celebrity,DOGE,Time-MoE,TimesNet,mse,98,-0.000446141053464826,-0.004490828112187724,0.0015094820004025805,0.8298,7,4999,positive favors Time-MoE; descriptive comparison
celebrity,DOGE,Time-MoE,TimesNet,mae,98,-0.003326105067924577,-0.03278645518524894,0.012455484926186759,0.8374,7,4999,positive favors Time-MoE; descriptive comparison
celebrity,DOGE,Time-MoE,TimesNet,mape,98,-0.3399488993646747,-3.3299809745774316,1.218463540176058,0.8334,7,4999,positive favors Time-MoE; descriptive comparison
celebrity,ETH,Time-MoE,TimesNet,mse,15,-0.0008758908264728784,-0.0031696320017088214,0.000979904935526626,0.49,7,4999,positive favors Time-MoE; descriptive comparison
celebrity,ETH,Time-MoE,TimesNet,mae,15,0.0030198797583580023,-0.003208170334498087,0.010757869730393095,0.4366,7,4999,positive favors Time-MoE; descriptive comparison
celebrity,ETH,Time-MoE,TimesNet,mape,15,0.3551125098658398,-0.20206581801387394,1.0898470926784734,0.3388,7,4999,positive favors Time-MoE; descriptive comparison
celebrity,SOL,Time-MoE,TimesNet,mse,12,0.0006178438367665887,0.00015774158182183898,0.0013250836264179743,0.118,7,4999,positive favors Time-MoE; descriptive comparison
celebrity,SOL,Time-MoE,TimesNet,mae,12,0.005934510586990249,0.0013967856764793396,0.01284603973229726,0.1176,7,4999,positive favors Time-MoE; descriptive comparison
celebrity,SOL,Time-MoE,TimesNet,mape,12,0.5796779334299976,0.13123129241902254,1.2599957478129717,0.1176,7,4999,positive favors Time-MoE; descriptive comparison
celebrity,Pooled,Time-MoE,TimesNet,mse,288,-0.00021442079853146217,-0.005672720857566087,0.0017405356142655955,0.9422,7,4999,positive favors Time-MoE; descriptive comparison
celebrity,Pooled,Time-MoE,TimesNet,mae,288,-0.0012893026901615995,-0.0386649181569616,0.019468663827412674,0.9586,7,4999,positive favors Time-MoE; descriptive comparison
celebrity,Pooled,Time-MoE,TimesNet,mape,288,-0.12845940490208518,-3.867451280816031,1.9042984288530287,0.9554,7,4999,positive favors Time-MoE; descriptive comparison
celebrity,BTC,Time-MoE,Time-LLM,mse,163,-0.00010637170320191101,-0.0010237729428489034,-0.0001596843253579604,0.9604,7,4999,positive favors Time-MoE; descriptive comparison
celebrity,BTC,Time-MoE,Time-LLM,mae,163,-0.002193298579359347,-0.022425604538842188,-0.0015560821169751798,0.939,7,4999,positive favors Time-MoE; descriptive comparison
celebrity,BTC,Time-MoE,Time-LLM,mape,163,-0.21841312199106966,-2.221180060232436,-0.16031478910179578,0.9396,7,4999,positive favors Time-MoE; descriptive comparison
celebrity,DOGE,Time-MoE,Time-LLM,mse,98,-0.0011063534362126628,-0.00644593935315929,-0.0010042828725181597,0.8574,7,4999,positive favors Time-MoE; descriptive comparison
celebrity,DOGE,Time-MoE,Time-LLM,mae,98,-0.007797076994059038,-0.040063333134541565,-0.012805654926375405,0.937,7,4999,positive favors Time-MoE; descriptive comparison
celebrity,DOGE,Time-MoE,Time-LLM,mape,98,-0.7707651030613073,-4.01363659247407,-1.2419287601167688,0.9328,7,4999,positive favors Time-MoE; descriptive comparison
celebrity,ETH,Time-MoE,Time-LLM,mse,15,-0.0009621833905142969,-0.002497793492470272,9.061467172148209e-05,0.3422,7,4999,positive favors Time-MoE; descriptive comparison
celebrity,ETH,Time-MoE,Time-LLM,mae,15,-0.002142899400658078,-0.0066614975324935394,0.001293101865384313,0.304,7,4999,positive favors Time-MoE; descriptive comparison
celebrity,ETH,Time-MoE,Time-LLM,mape,15,-0.17745937080259006,-0.5799555162373053,0.13532721018683083,0.3268,7,4999,positive favors Time-MoE; descriptive comparison
celebrity,SOL,Time-MoE,Time-LLM,mse,12,-0.00014150406269250769,-0.00036921921523938773,2.9609464777369234e-05,0.154,7,4999,positive favors Time-MoE; descriptive comparison
celebrity,SOL,Time-MoE,Time-LLM,mae,12,-0.002789988906847106,-0.006747477998336156,5.150462190310137e-05,0.098,7,4999,positive favors Time-MoE; descriptive comparison
celebrity,SOL,Time-MoE,Time-LLM,mape,12,-0.2823566706618781,-0.6771945580583761,-0.00046145153013132933,0.0882,7,4999,positive favors Time-MoE; descriptive comparison
celebrity,Pooled,Time-MoE,Time-LLM,mse,288,-0.0004926806388221424,-0.008287096953165665,-0.0015298283837428118,0.995,7,4999,positive favors Time-MoE; descriptive comparison
celebrity,Pooled,Time-MoE,Time-LLM,mae,288,-0.004122376985227067,-0.059624849644800026,-0.018321717166238358,0.9986,7,4999,positive favors Time-MoE; descriptive comparison
celebrity,Pooled,Time-MoE,Time-LLM,mape,288,-0.40689753331435374,-5.891130165530511,-1.8012854203140851,0.9984,7,4999,positive favors Time-MoE; descriptive comparison
celebrity,BTC,Time-MoE,CAMEF,mse,163,-8.844204705563282e-05,-0.0009477057877222378,1.8919098629133164e-05,0.9148,7,4999,positive favors Time-MoE; descriptive comparison
celebrity,BTC,Time-MoE,CAMEF,mae,163,-0.0015880606596211477,-0.020411804442604382,0.0058531164138139,0.9108,7,4999,positive favors Time-MoE; descriptive comparison
celebrity,BTC,Time-MoE,CAMEF,mape,163,-0.15722771702489965,-2.019514689051617,0.5803063752181976,0.9116,7,4999,positive favors Time-MoE; descriptive comparison
celebrity,DOGE,Time-MoE,CAMEF,mse,98,-0.0014159362846301426,-0.00896587603268664,-0.0008934657139164937,0.8226,7,4999,positive favors Time-MoE; descriptive comparison
celebrity,DOGE,Time-MoE,CAMEF,mae,98,-0.009595442309874259,-0.057577276983480356,-0.008903398681646099,0.8424,7,4999,positive favors Time-MoE; descriptive comparison
celebrity,DOGE,Time-MoE,CAMEF,mape,98,-0.937628056698099,-5.52763043924686,-0.8618342072739823,0.847,7,4999,positive favors Time-MoE; descriptive comparison
celebrity,ETH,Time-MoE,CAMEF,mse,15,-0.0017377076720186703,-0.004738415207456241,0.00039414602740956496,0.4668,7,4999,positive favors Time-MoE; descriptive comparison
celebrity,ETH,Time-MoE,CAMEF,mae,15,-0.0047500607040193345,-0.016941985115408897,0.005066833355360559,0.4732,7,4999,positive favors Time-MoE; descriptive comparison
celebrity,ETH,Time-MoE,CAMEF,mape,15,-0.39689324490183325,-1.5229498081903527,0.5307166959357698,0.5154,7,4999,positive favors Time-MoE; descriptive comparison
celebrity,SOL,Time-MoE,CAMEF,mse,12,-0.00014013815734442099,-0.00038648097611403045,5.014939848742017e-05,0.3422,7,4999,positive favors Time-MoE; descriptive comparison
celebrity,SOL,Time-MoE,CAMEF,mae,12,-0.002239177831345134,-0.006762499610582988,0.0013884728153546646,0.341,7,4999,positive favors Time-MoE; descriptive comparison
celebrity,SOL,Time-MoE,CAMEF,mape,12,-0.22496350524556083,-0.683832943075825,0.14392053048647915,0.341,7,4999,positive favors Time-MoE; descriptive comparison
celebrity,Pooled,Time-MoE,CAMEF,mse,288,-0.0006282120921258169,-0.012312366461771553,-0.0008744098933391256,0.9644,7,4999,positive favors Time-MoE; descriptive comparison
celebrity,Pooled,Time-MoE,CAMEF,mae,288,-0.004504612077855402,-0.08303068811694779,-0.0069595189433958714,0.9748,7,4999,positive favors Time-MoE; descriptive comparison
celebrity,Pooled,Time-MoE,CAMEF,mape,288,-0.4380855144720367,-7.9650749641471235,-0.6260812730139583,0.9748,7,4999,positive favors Time-MoE; descriptive comparison
news,BTC,Time-MoE,Persistence,mse,50,-3.2066519435898775e-05,-8.997220279083555e-05,1.955618121412858e-05,0.2818,7,4999,positive favors Time-MoE; descriptive comparison
news,BTC,Time-MoE,Persistence,mae,50,-0.0012015304887572436,-0.0030615309597528733,0.0003504261523438372,0.1922,7,4999,positive favors Time-MoE; descriptive comparison
news,BTC,Time-MoE,Persistence,mape,50,-0.12005304455016948,-0.30703111308581726,0.03767093397849799,0.1958,7,4999,positive favors Time-MoE; descriptive comparison
news,ETH,Time-MoE,Persistence,mse,10,-0.0006501917345938298,-0.0011806479565860623,-0.00030110110564681076,0.0002,7,4999,positive favors Time-MoE; descriptive comparison
news,ETH,Time-MoE,Persistence,mae,10,-0.00614854595993803,-0.011445368801022019,-0.001993801490437462,0.0002,7,4999,positive favors Time-MoE; descriptive comparison
news,ETH,Time-MoE,Persistence,mape,10,-0.591345250571676,-1.1065984888185778,-0.17990715395481885,0.0002,7,4999,positive favors Time-MoE; descriptive comparison
news,SOL,Time-MoE,Persistence,mse,1,5.7161712836640075e-05,5.7161712836640075e-05,5.7161712836640075e-05,0.0002,7,4999,positive favors Time-MoE; descriptive comparison
news,SOL,Time-MoE,Persistence,mae,1,0.002249598503112793,0.002249598503112793,0.002249598503112793,0.0002,7,4999,positive favors Time-MoE; descriptive comparison
news,SOL,Time-MoE,Persistence,mape,1,0.22826041671137065,0.22826041671137065,0.22826041671137065,0.0002,7,4999,positive favors Time-MoE; descriptive comparison
news,Pooled,Time-MoE,Persistence,mse,61,-0.0001319357640146983,-0.0003297068802155602,-4.795841945218277e-05,0.1272,7,4999,positive favors Time-MoE; descriptive comparison
news,Pooled,Time-MoE,Persistence,mae,61,-0.0019559407464611422,-0.004691429158650069,-0.0011428272898626067,0.1026,7,4999,positive favors Time-MoE; descriptive comparison
news,Pooled,Time-MoE,Persistence,mape,61,-0.1916040051887519,-0.45933200788127426,-0.1094978507734217,0.1048,7,4999,positive favors Time-MoE; descriptive comparison
news,BTC,Time-MoE,DLinear,mse,50,6.374329510715654e-05,2.3368485229230162e-05,0.00012461965797309744,0.0238,7,4999,positive favors Time-MoE; descriptive comparison
news,BTC,Time-MoE,DLinear,mae,50,0.0016594092470136584,0.00023477679412343107,0.0035992356795312972,0.0744,7,4999,positive favors Time-MoE; descriptive comparison
news,BTC,Time-MoE,DLinear,mape,50,0.1645114339027289,0.02098134267578068,0.36020093603399084,0.08,7,4999,positive favors Time-MoE; descriptive comparison
news,ETH,Time-MoE,DLinear,mse,10,-0.0003858310238556548,-0.0007298140504345965,-0.000127588224800192,0.0002,7,4999,positive favors Time-MoE; descriptive comparison
news,ETH,Time-MoE,DLinear,mae,10,-0.0035967708550738173,-0.007825256296143926,-0.000167567826242335,0.0556,7,4999,positive favors Time-MoE; descriptive comparison
news,ETH,Time-MoE,DLinear,mape,10,-0.345267496937615,-0.7583398037927933,-0.008921300513017637,0.066,7,4999,positive favors Time-MoE; descriptive comparison
news,SOL,Time-MoE,DLinear,mse,1,0.00015568295323913216,0.00015568295323913216,0.00015568295323913216,0.0002,7,4999,positive favors Time-MoE; descriptive comparison
news,SOL,Time-MoE,DLinear,mae,1,0.004164642285200417,0.004164642285200417,0.004164642285200417,0.0002,7,4999,positive favors Time-MoE; descriptive comparison
news,SOL,Time-MoE,DLinear,mape,1,0.42291957103725397,0.42291957103725397,0.42291957103725397,0.0002,7,4999,positive favors Time-MoE; descriptive comparison
news,Pooled,Time-MoE,DLinear,mse,61,-8.450205409173595e-06,-0.00012781856595724684,9.018840098261435e-05,0.8906,7,4999,positive favors Time-MoE; descriptive comparison
