dataset,method,seed,asset,subset,n,horizon,mse,mae,mape
celebrity,Time-MoE,0,Pooled,event,288,14,0.0016558644106593715,0.026065795578890376,2.561736451074643
celebrity,Time-MoE,0,Pooled,event,288,15,0.0017696403778714915,0.026844416020645037,2.6380002679785317
celebrity,Time-MoE,0,Pooled,event,288,16,0.0019068876663155142,0.02798904913167159,2.750160801179648
celebrity,Time-MoE,0,Pooled,event,288,17,0.0021326066811115187,0.02860443749361568,2.8056042302845503
celebrity,Time-MoE,0,Pooled,event,288,18,0.002306770231416936,0.030001535183853574,2.944085922941117
celebrity,Time-MoE,0,Pooled,event,288,19,0.0023611712360292777,0.030512574853168592,2.989532067425616
celebrity,Time-MoE,0,Pooled,event,288,20,0.002512574773262092,0.0311045754286978,3.031386777483431
celebrity,Time-MoE,0,Pooled,event,288,21,0.0025881533111229427,0.031731596837441124,3.088915791998538
celebrity,Time-MoE,0,Pooled,event,288,22,0.0026666572152120624,0.032446250319480896,3.1617316264497606
celebrity,Time-MoE,0,Pooled,event,288,23,0.002708968004047099,0.032884897457228765,3.2091479120716095
celebrity,Time-MoE,0,Pooled,event,288,24,0.0027776206589081617,0.03368192931844129,3.2936189820035713
news,Time-MoE,0,BTC,all,2184,1,1.356194755921098e-05,0.0025076395427464497,0.2507604651775423
news,Time-MoE,0,BTC,all,2184,2,2.9183955565064065e-05,0.0037580193085004626,0.3758299968068946
news,Time-MoE,0,BTC,all,2184,3,4.6029058717070136e-05,0.00478037109836864,0.47809307274057145
news,Time-MoE,0,BTC,all,2184,4,6.414305551881021e-05,0.005671010774484738,0.5670315795170414
news,Time-MoE,0,BTC,all,2184,5,8.324828844476203e-05,0.006493847813386572,0.6492084202507316
news,Time-MoE,0,BTC,all,2184,6,0.00010277074174833563,0.007246558353844806,0.7243468149245572
news,Time-MoE,0,BTC,all,2184,7,0.00012208649114470155,0.007971095582412302,0.7967153027436276
news,Time-MoE,0,BTC,all,2184,8,0.0001409486473993955,0.008628265570266015,0.8623264101935711
news,Time-MoE,0,BTC,all,2184,9,0.00015950337846447132,0.00922443575709173,0.9217742069581775
news,Time-MoE,0,BTC,all,2184,10,0.00017861761944587838,0.009801576915357355,0.9793867149752118
news,Time-MoE,0,BTC,all,2184,11,0.00019652878501010443,0.01030994741692768,1.0300825491725718
news,Time-MoE,0,BTC,all,2184,12,0.00021424044490843885,0.010820857468133627,1.0809649169486852
news,Time-MoE,0,BTC,all,2184,13,0.00023159550733770068,0.011287593090060768,1.1274703516938989
news,Time-MoE,0,BTC,all,2184,14,0.00024858067925164677,0.011733167946403713,1.171837212988953
news,Time-MoE,0,BTC,all,2184,15,0.0002648313925269472,0.01212614922785021,1.2109295997191265
news,Time-MoE,0,BTC,all,2184,16,0.0002806041666759034,0.012519792597176085,1.2500429752508357
news,Time-MoE,0,BTC,all,2184,17,0.000295727781649314,0.012866946467685682,1.2844522521400408
